615,SP500,QCOM
616,SP500,DGX
617,SP500,RRC
618,SP500,RTN
619,SP500,O
620,SP500,RHT
621,SP500,REGN
622,SP500,RF
623,SP500,RSG
624,SP500,RAI
625,SP500,RHI
626,SP500,ROK
627,SP500,COL
628,SP500,ROP
629,SP500,ROST
630,SP500,RCL
631,SP500,R
632,SP500,CRM
633,SP500,SCG
634,SP500,SLB
635,SP500,SNI
636,SP500,STX
637,SP500,SEE
638,SP500,SRE
639,SP500,SHW
640,SP500,SIG
641,SP500,SPG
642,SP500,SWKS
643,SP500,SLG
644,SP500,SJM
645,SP500,SNA
646,SP500,SO
647,SP500,LUV
648,SP500,SWN
649,SP500,SE
650,SP500,SPGI
651,SP500,STJ
652,SP500,SWK
653,SP500,SPLS
654,SP500,SBUX
655,SP500,HOT
656,SP500,STT
657,SP500,SRCL
658,SP500,SYK
659,SP500,STI
660,SP500,SYMC
661,SP500,SYF
662,SP500,SYY
663,SP500,TROW
664,SP500,TGT
665,SP500,TEL
666,SP500,TGNA
667,SP500,TDC
668,SP500,TSO
669,SP500,TXN
670,SP500,TXT
671,SP500,HSY
672,SP500,TRV
673,SP500,TMO
674,SP500,TIF
675,SP500,TWX
676,SP500,TJX
677,SP500,TMK
678,SP500,TSS
679,SP500,TSCO
680,SP500,TDG
681,SP500,RIG
682,SP500,TRIP
683,SP500,FOXA
684,SP500,FOX
685,SP500,TSN
686,SP500,TYC
687,SP500,UDR
688,SP500,ULTA
689,SP500,USB
690,SP500,UA
691,SP500,UA-C
692,SP500,UNP
693,SP500,UAL
694,SP500,UNH
695,SP500,UPS
696,SP500,URI
697,SP500,UTX
698,SP500,UHS
699,SP500,UNM
700,SP500,URBN
701,SP500,VFC
702,SP500,VLO
703,SP500,VAR
704,SP500,VTR
705,SP500,VRSN
706,SP500,VRSK
707,SP500,VZ
708,SP500,VRTX
709,SP500,VIAB
710,SP500,V
711,SP500,VNO
712,SP500,VMC
713,SP500,WMT
714,SP500,WBA
715,SP500,DIS
716,SP500,WM
717,SP500,WAT
718,SP500,ANTM
719,SP500,WFC
720,SP500,HCN
721,SP500,WDC
722,SP500,WU
723,SP500,WY
724,SP500,WHR
725,SP500,WFM
726,SP500,WMB
727,SP500,WLTW
728,SP500,WEC
729,SP500,WYN
730,SP500,WYNN
731,SP500,XEL
732,SP500,XRX
733,SP500,XLNX
734,SP500,XL
735,SP500,XYL
736,SP500,YHOO
737,SP500,YUM
738,SP500,ZBH
739,SP500,ZION
740,SP500,ZTS
